,elapsed_time_seconds,distance_meters,elev_high_meters,elev_low_meters,average_heartrate,sport_type
520,2975,9966.0,173.2,88.4,,TrailRun
521,3186,10135.0,171.0,156.2,,TrailRun
522,3139,9033.0,158.6,83.4,,TrailRun
523,2924,8850.0,163.8,145.2,,Run
524,5958,21888.0,180.0,91.2,,TrailRun
525,2837,9465.0,40.0,31.8,,Run
526,2087,8535.0,33.2,20.2,,Run
527,4110,13808.0,167.0,89.0,,TrailRun
528,5492,17354.0,71.0,-15.4,,Run
529,3411,10226.0,96.8,33.4,,Run
530,2728,10346.0,165.6,151.4,,TrailRun
531,2720,9469.0,40.6,31.6,,Run
532,4577,14571.0,165.8,86.8,,TrailRun
533,6586,22128.0,179.8,86.6,,TrailRun
534,2379,6088.0,1756.2,1576.0,,TrailRun
535,2966,8009.0,1725.8,1568.0,,TrailRun
536,3903,11338.0,1773.4,1566.0,,TrailRun
537,4236,12693.0,1717.4,1555.0,,TrailRun
538,3496,10928.0,1813.4,1559.8,,TrailRun
539,3302,8499.0,180.4,162.6,,TrailRun
540,2767,9569.0,159.8,144.0,,TrailRun
541,2760,5564.0,163.4,156.0,,TrailRun
542,18736,40074.0,180.0,99.6,,TrailRun
543,6861,12865.0,161.4,55.0,,TrailRun
544,2149,5902.0,156.6,53.2,,TrailRun
545,2136,5346.0,158.8,143.8,,TrailRun
546,2077,4851.0,160.4,153.4,,TrailRun
547,4323,16638.0,158.8,50.2,,TrailRun
548,2558,7613.0,158.8,75.0,,TrailRun
549,1989,5742.0,170.4,161.2,,TrailRun
550,2361,6465.0,161.8,85.8,,TrailRun
551,2181,5160.0,165.0,157.0,,TrailRun
552,1423,3542.0,150.2,139.8,,TrailRun
553,2879,4643.0,58.6,47.8,,Run
554,5894,13573.0,169.4,147.4,,Run
555,2597,7006.0,158.2,144.4,,Run
556,3285,12600.0,44.8,32.0,,Run
557,3809,11200.0,165.6,146.4,,Run
558,6505,20063.0,170.0,73.8,,TrailRun
559,3628,12275.0,157.8,141.4,,Run
560,3806,12478.0,54.4,36.4,,Run
561,3877,10540.0,154.6,145.6,,Run
562,510,1391.0,157.8,153.4,,Run
563,6105,16730.0,371.4,277.8,,TrailRun
564,4087,11588.0,344.4,264.2,,TrailRun
565,493,1124.0,284.2,239.0,,Run
